position  latitude(N)    longitude(E)
500-03    38.08000000    132.73666667
500-04    38.25666667    133.23500000
500-05    38.43333333    133.73333333
500-06    38.75000000    135.09166667
500-07    39.06666667    134.45000000
500-08    39.06666667    135.03333333
500-09    39.73833333    134.67166667
500-10    38.41166667    134.31166667
500-11    38.08333333    133.95000000
500-12    37.82000000    133.49666667
500-13    37.55666667    133.04333333
500-14    37.29333333    132.59000000
500-15    37.03000000    131.13666667
500-16    36.76666667    131.68333333
500-17    36.33333333    130.40000000
501-01    37.76666667    131.47500000
501-02    38.00000000    132.03000000
501-03    38.23333333    132.58500000
501-04    38.46666667    133.14000000
501-05    38.70000000    133.69500000
501-06    38.93333333    134.25000000
501-07    39.16666667    134.80500000
501-08    38.98500000    134.57000000
501-09    38.64666667    134.12666667
501-10    38.30833333    133.68333333
501-11    37.97000000    133.24000000
501-12    37.63166667    132.79666667
501-13    37.29333333    132.35333333
501-14    36.95500000    131.90000000
501-15    36.61666667    131.46666667
601-01    34.18333333    126.19666667
601-02    34.18333333    126.00000000
601-03    34.18333333    125.88333333
601-04    34.18333333    125.76666667
601-05    34.18333333    125.68500000
601-06    34.18333333    125.58333333
601-07    34.18333333    125.47500000
601-08    34.18333333    125.45166667
601-09    34.18333333    125.28500000
601-10    34.30500000    125.40500000
601-11    34.40000000    125.70000000
601-12    34.25000000    125.70000000
601-13    34.05000000    125.70000000
602-01    34.56666667    125.75000000
602-02    34.40000000    125.75000000
602-03    34.30000000    125.75000000
602-04    33.20000000    125.75000000
602-05    33.10000000    125.75000000
602-06    33.00000000    125.75000000
602-07    33.83333333    125.75000000
